;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
MIMM8CY01Q;201617;NORD OVEST;20143,0;F205;MIIC8CY00P;IC CAPPONI/MILANO;GRAMSCI + GEMELLI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CY00P@istruzione.it;Non Disponibile;VIA TOSI MALAGA 21;MILANO;LOMBARDIA;SI;www.icscapponi.it;True;9,1579629;45,4440958;SCUOLA SECONDARIA I GRADO;271
MIEE8AG01V;201617;NORD OVEST;20157,0;F205;MIIC8AG00R;IC VIA VAL LAGARINA /MILANO;VIA VAL LAGARINA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AG00R@istruzione.it;Non Disponibile;VIA VAL LAGARINA 44;MILANO;LOMBARDIA;SI;www.icsviavallagarina.gov.it;True;9,1350745;45,5204405;SCUOLA PRIMARIA;297
MIEE8FU01C;201617;NORD OVEST;20134,0;F205;MIIC8FU00A;I.C. GUIDO GALLI;E.TOTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FU00A@istruzione.it;Non Disponibile;VIA CIMA 15;MILANO;LOMBARDIA;SI;www.nolli-arquati.it;True;9,2472894;45,47190380000001;SCUOLA PRIMARIA;130
MIEE8DZ01A;201617;NORD OVEST;20142,0;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";"""SANDRO PERTINI""";NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA SALERNO 3;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,14875;45,4379;SCUOLA PRIMARIA;457
MITD004015;201617;NORD OVEST;20123,0;F205;MIIS00400V;CARLO CATTANEO;"IST.TEC.STAT.PER RAG.""CATTANEO""";NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS00400V@istruzione.it;Non Disponibile;PIAZZA DELLA VETRA 9;MILANO;LOMBARDIA;SI;www.iiscattaneomilano.gov.it;True;9,183003900000001;45,4586493;SCUOLA SECONDARIA II GRADO;265
MIPS02201V;201617;NORD OVEST;20141,0;F205;MIIS02200C;SALVADOR ALLENDE;SALVADOR ALLENDE;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS02200C@istruzione.it;Non Disponibile;VIA U. DINI7;MILANO;LOMBARDIA;SI;www.allendecustodi.gov.it;True;9,1798727;45,4292374;SCUOLA SECONDARIA II GRADO;721
MIRH010009;201617;NORD OVEST;20133,0;F205;MIRH010009;A. VESPUCCI;A. VESPUCCI;NORMALE;MILANO;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;SI;Non Disponibile;MIRH010009@istruzione.it;mirh010009@pec.istruzione.it;VIA VALVASSORI PERONI8;MILANO;LOMBARDIA;SI;www.ipsarvespucci.it;True;9,2366241;45,4785617;SCUOLA SECONDARIA II GRADO;1430
MITD02201P;201617;NORD OVEST;20141,0;F205;MIIS02200C;SALVADOR ALLENDE;CUSTODI;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS02200C@istruzione.it;Non Disponibile;VIA ULISSE DINI 7;MILANO;LOMBARDIA;SI;www.allendecustodi.gov.it;True;9,1796575;45,4295961;SCUOLA SECONDARIA II GRADO;287
MITF08201L;201617;NORD OVEST;20143,0;F205;MIIS082004;GIORGI;GIORGI;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS082004@istruzione.it;Non Disponibile;VIALE LIGURIA21;MILANO;LOMBARDIA;SI;www.itisgiorgimilano.it;True;9,1701353;45,44414829999999;SCUOLA SECONDARIA II GRADO;571
MIRH02000X;201617;NORD OVEST;20151,0;F205;MIRH02000X;CARLO PORTA;CARLO PORTA;NORMALE;MILANO;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;SI;Non Disponibile;MIRH02000X@istruzione.it;mirh02000x@pec.istruzione.it;VIA URUGUAY 26/3;MILANO;LOMBARDIA;SI;www.carloportamilano.it;True;9,119373;45,4974693;SCUOLA SECONDARIA II GRADO;1378
MIRC300004;201617;NORD OVEST;20142,0;F205;MIRC300004;KANDINSKY;KANDINSKY;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;SI;Non Disponibile;MIRC300004@istruzione.it;MIRC300004@pec.istruzione.it;VIA C. BARONI35;MILANO;LOMBARDIA;SI;www.iskandinsky.gov.it;True;9,1717661;45,4100093;SCUOLA SECONDARIA II GRADO;575
MIEE8CB011;201617;NORD OVEST;20136,0;F205;MIIC8CB00V;ICS JACOPO BAROZZI/MILANO;J.BAROZZI- MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CB00V@istruzione.it;Non Disponibile;VIA BOCCONI 17;MILANO;LOMBARDIA;SI;http//www.icsbarozzi.gov.it/;True;9,1907309;45,449116700000005;SCUOLA PRIMARIA;482
MIRI072015;201617;NORD OVEST;20149,0;F205;MIIS07200D;SEVERI - CORRENTI;C.CORRENTI;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS07200D@istruzione.it;Non Disponibile;VIA ALCUINO 4;MILANO;LOMBARDIA;SI;www.severi.org;True;9,156;45,48168;SCUOLA SECONDARIA II GRADO;335
MIEE8C303V;201617;NORD OVEST;20151,0;F205;MIIC8C300P;IC RICCARDO MASSA/MILANO;VIA DELLE ANDE;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C300P@istruzione.it;Non Disponibile;VIA DELLE ANDE 4;MILANO;LOMBARDIA;SI;www.icriccardomassa.gov.it;True;9,125408300000002;45,4943763;SCUOLA PRIMARIA;282
MIMM8AN01E;201617;NORD OVEST;20138,0;F205;MIIC8AN00D;IC M.TERESA DI CALCUTTA/MILANO;MEDA FERRARIN;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8AN00D@istruzione.it;Non Disponibile;VIA MONDOLFO 7;MILANO;LOMBARDIA;SI;www.mtcalcutta.it;True;9,253556800000002;45,447877000000005;SCUOLA SECONDARIA I GRADO;236
MIMM8D201E;201617;NORD OVEST;20156,0;F205;MIIC8D200D;IC VIA CONSOLE MARCELLO/MILANO;COLOMBO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D200D@istruzione.it;Non Disponibile;VIA PIZZIGONI 9;MILANO;LOMBARDIA;SI;www.consolemarcello.gov.it;True;9,1468067;45,4984329;SCUOLA SECONDARIA I GRADO;352
MIMM8CB01X;201617;NORD OVEST;20136,0;F205;MIIC8CB00V;ICS JACOPO BAROZZI/MILANO;CONFALONIERI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CB00V@istruzione.it;Non Disponibile;VIA VITTADINI 10;MILANO;LOMBARDIA;SI;www.icsbarozzi.gov.it;True;9,194019699999998;45,4492945;SCUOLA SECONDARIA I GRADO;529
MIEE8CS014;201617;NORD OVEST;20161,0;F205;MIIC8CS002;IC DON ORIONE/MILANO;DON ORIONE - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CS002@istruzione.it;Non Disponibile;VIA FABRIANO 4;MILANO;LOMBARDIA;SI;www.icsdonorione.gov.it/;True;9,1750002;45,515698;SCUOLA PRIMARIA;344
MIEE8C302T;201617;NORD OVEST;20151,0;F205;MIIC8C300P;IC RICCARDO MASSA/MILANO;VIA QUARENGHI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C300P@istruzione.it;Non Disponibile;VIA QUARENGHI 10;MILANO;LOMBARDIA;SI;www.icriccardomassa.gov.it;True;9,1208116;45,4948152;SCUOLA PRIMARIA;126
MIEE8AN02L;201617;NORD OVEST;20138,0;F205;MIIC8AN00D;IC M.TERESA DI CALCUTTA/MILANO;S.GIOVANNI BOSCO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AN00D@istruzione.it;Non Disponibile;VIA SORDELLO 7;MILANO;LOMBARDIA;SI;www.mtcalcutta.it;True;9,2458145;45,4440384;SCUOLA PRIMARIA;194
MIMM01900D;201617;NORD OVEST;20122,0;F205;MIMM01900D;E. SETTI CARRARO DALLA CHIESA;E. SETTI CARRARO DALLA CHIESA;ANN. A EDUCANDATO;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIMM01900D@istruzione.it;Non Disponibile;VIA PASSIONE 12;MILANO;LOMBARDIA;SI;www.setticarraro.gov.it;True;9,2022462;45,4650289;SCUOLA SECONDARIA I GRADO;145
MIEE81702X;201617;NORD OVEST;20127,0;F205;MIIC81700R;IC TEODORO CIRESOLA/MILANO;T. CIRESOLA ( EX V. GAMBARA );NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81700R@istruzione.it;Non Disponibile;V.LE BRIANZA 14;MILANO;LOMBARDIA;SI;www.icsciresola.gov.it;True;9,21348;45,487594200000004;SCUOLA PRIMARIA;351
MIMM8CS013;201617;NORD OVEST;20161,0;F205;MIIC8CS002;IC DON ORIONE/MILANO;L. DA VINCI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CS002@istruzione.it;Non Disponibile;VIA SAND 32;MILANO;LOMBARDIA;SI;www.icdonorione.gov.it/;True;9,174077699999998;45,51896379999999;SCUOLA SECONDARIA I GRADO;390
MIEE8DQ02G;201617;NORD OVEST;20159,0;F205;MIIC8DQ00C;I.C. LOCATELLI-QUASIMODO;LOCATELLI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DQ00C@istruzione.it;Non Disponibile;VIA VEGLIA 80;MILANO;LOMBARDIA;SI;www.icslocatelli-quasimodo.gov.it;True;9,1963305;45,502756299999994;SCUOLA PRIMARIA;387
MIEE8CY02T;201617;NORD OVEST;20142,0;F205;MIIC8CY00P;IC CAPPONI/MILANO;SCUOLA PRIMARIA DOMENICO MORO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CY00P@istruzione.it;Non Disponibile;VIA PESCARENICO 6;MILANO;LOMBARDIA;SI;www.icscapponi.it;True;9,1713081;45,4326979;SCUOLA PRIMARIA;343
MIEE8CB022;201617;NORD OVEST;20135,0;F205;MIIC8CB00V;ICS JACOPO BAROZZI/MILANO;G.ROMANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CB00V@istruzione.it;Non Disponibile;VIA G.ROMANO 2;MILANO;LOMBARDIA;SI;www.icsbarozzi.gov.it;True;9,1979061;45,4484375;SCUOLA PRIMARIA;245
MIMM023005;201617;NORD OVEST;20123,0;F205;MIMM023005;CONVITTO NAZ. LONGONE - S.M.;CONVITTO NAZ. LONGONE - S.M.;ANNESSO A CONVITTO;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIMM023005@istruzione.it;Non Disponibile;VIA OLIVETANI 9;MILANO;LOMBARDIA;SI;www.convittolongone.it;True;9,1687866;45,4618696;SCUOLA SECONDARIA I GRADO;168
MIEE81701V;201617;NORD OVEST;20127,0;F205;MIIC81700R;IC TEODORO CIRESOLA/MILANO;T. CIRESOLA (EX VENINI);NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81700R@istruzione.it;Non Disponibile;VIA VENINI 78/80;MILANO;LOMBARDIA;SI;www.icsciresola.gov.it;True;9,2171232;45,4943245;SCUOLA PRIMARIA;341
MITL00401G;201617;NORD OVEST;20123,0;F205;MIIS00400V;CARLO CATTANEO;"IST.TEC. STAT. PER GEOM. ""C. CATTANEO""";NORMALE;MILANO;ISTITUTO TECNICO PER GEOMETRI;NO;Non Disponibile;MIIS00400V@istruzione.it;Non Disponibile;PIAZZA DELLA VETRA 9;MILANO;LOMBARDIA;SI;www.iiscattaneomilano.gov.itit;True;9,183003900000001;45,4586493;SCUOLA SECONDARIA II GRADO;408
MIEE8AN03N;201617;NORD OVEST;20138,0;F205;MIIC8AN00D;IC M.TERESA DI CALCUTTA/MILANO;"""GUIDO UCELLI DI NEMI";NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8AN00D@istruzione.it;Non Disponibile;VIA UCELLI DI NEMI 54;MILANO;LOMBARDIA;SI;www.mtcalcutta.it;True;9,2638403;45,4377724;SCUOLA PRIMARIA;214
MIMM8F0014;201617;NORD OVEST;20148,0;F205;MIIC8F0003;I.C. VIA GATTAMELATA 35/MILANO;COLORNI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8F0003@istruzione.it;Non Disponibile;VIA P.UCCELLO 1/A;MILANO;LOMBARDIA;SI;www.icsgattamelata.gov.it;True;9,1470951;45,480841999999996;SCUOLA SECONDARIA I GRADO;464
MIMM8DR019;201617;NORD OVEST;20138,0;F205;MIIC8DR008;IC PASQUALE SOTTOCORNO/MILANO;VIA MONTE POPERA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DR008@istruzione.it;Non Disponibile;VIA MONTE POPERA 12;MILANO;LOMBARDIA;SI;www.icsottocorno.gov.it;True;9,2463129;45,43126289999999;SCUOLA SECONDARIA I GRADO;262
MIEE8DR01A;201617;NORD OVEST;20139,0;F205;MIIC8DR008;IC PASQUALE SOTTOCORNO/MILANO;P.SOTTOCORNO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DR008@istruzione.it;Non Disponibile;VIA MONTE PIANA 11;MILANO;LOMBARDIA;SI;www.icsottocorno.gov.it;True;9,2470594;45,430705700000004;SCUOLA PRIMARIA;442
MIMM8CX01X;201617;NORD OVEST;20141,0;F205;MIIC8CX00V;IC FABIO FILZI/MILANO;TOSCANINI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CX00V@istruzione.it;Non Disponibile;VIA DEI GUARNERI 21;MILANO;LOMBARDIA;SI;www.icsfilzi.it;True;9,2049778;45,4260709;SCUOLA SECONDARIA I GRADO;287
MIEE8DF01V;201617;NORD OVEST;20162,0;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;SANDRO PERTINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;VIA THOMAS MANN 8;MILANO;LOMBARDIA;SI;http//www.icpertinimilano.gov.it/;True;9,2093882;45,5244651;SCUOLA PRIMARIA;194
MIMM81701T;201617;NORD OVEST;20127,0;F205;MIIC81700R;IC TEODORO CIRESOLA/MILANO;T. CIRESOLA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC81700R@istruzione.it;Non Disponibile;VIALE BRIANZA 18;MILANO;LOMBARDIA;SI;www.icsciresola.gov.it;True;9,2129338;45,487936499999996;SCUOLA SECONDARIA I GRADO;404
MITD09301R;201617;NORD OVEST;20153,0;F205;MIIS09300E;MARIE CURIE - PIERO SRAFFA;PIERO SRAFFA;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS09300E@istruzione.it;Non Disponibile;VIA FRATELLI ZOIA 130;MILANO;LOMBARDIA;SI;www.curiesraffa.it;True;9,1095818;45,468956;SCUOLA SECONDARIA II GRADO;197
MIEE8CT021;201617;NORD OVEST;20162,0;F205;MIIC8CT00T;IC VITTORIO LOCCHI/MILANO;DUCA DEGLI ABRUZZI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CT00T@istruzione.it;Non Disponibile;VIA CESARI 38;MILANO;LOMBARDIA;SI;www.istitutocomprensivolocchi.it;True;9,18665;45,51955;SCUOLA PRIMARIA;474
MIPS07201X;201617;NORD OVEST;20149,0;F205;MIIS07200D;SEVERI - CORRENTI;""" SEVERI """;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS07200D@istruzione.it;Non Disponibile;VIA ALCUINO 4;MILANO;LOMBARDIA;SI;www.severi-correnti.it;True;9,156;45,48168;SCUOLA SECONDARIA II GRADO;653
MIEE8DQ01E;201617;NORD OVEST;20125,0;F205;MIIC8DQ00C;I.C. LOCATELLI-QUASIMODO;G.RODARI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DQ00C@istruzione.it;Non Disponibile;VIA BOTTELLI 3;MILANO;LOMBARDIA;SI;www.icslocatelli-quasimodo.gov.it;True;9,210086800000001;45,503262899999996;SCUOLA PRIMARIA;224
MIRC07701G;201617;NORD OVEST;20148,0;F205;MIIS07700L;G. GALILEI - R. LUXEMBURG;GALILEI;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI;NO;Non Disponibile;MIIS07700L@istruzione.it;Non Disponibile;VIA PARAVIA 31;MILANO;LOMBARDIA;SI;www.galileimilano.it;True;9,1308565;45,4714821;SCUOLA SECONDARIA II GRADO;121
MIMM8DF01T;201617;NORD OVEST;20162,0;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;VIA ASTURIE-VIA MANN;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;VIA THOMAS MANN 8;MILANO;LOMBARDIA;SI;http//www.icpertinimilano.gov.it/;True;9,2093882;45,5244651;SCUOLA SECONDARIA I GRADO;470
MIEE824012;201617;NORD OVEST;20154,0;F205;MIIC82400X;IC G.GIUSTI E C.D'ASSISI/MILANO;G.GIUSTI E C.D'ASSISI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC82400X@istruzione.it;Non Disponibile;VIA GIUSTI 15;MILANO;LOMBARDIA;SI;www.icgiusti.it;True;9,1768972;45,480106;SCUOLA PRIMARIA;490
MITN09401E;201617;NORD OVEST;20122,0;F205;MIIS09400A;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;NORMALE;MILANO;ISTITUTO TECNICO PER IL TURISMO;NO;Non Disponibile;MIIS09400A@istruzione.it;Non Disponibile;CORSO DI PORTA ROMANA 110;MILANO;LOMBARDIA;SI;www.bertarelliferraris.gov.it;True;9,197794900000002;45,454576700000004;SCUOLA SECONDARIA II GRADO;301
MIEE8C1037;201617;NORD OVEST;20151,0;F205;MIIC8C1003;IC G. BORSI/MILANO;VIA A.VISCONTI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA A.VISCONTI 16;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,102706900000001;45,5030344;SCUOLA PRIMARIA;170
MIMM8DQ01D;201617;NORD OVEST;20125,0;F205;MIIC8DQ00C;I.C. LOCATELLI-QUASIMODO;QUASIMODO/TOMMASEO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DQ00C@istruzione.it;Non Disponibile;VIA DELLA GIUSTIZIA 6;MILANO;LOMBARDIA;SI;www.icslocatelli-quasimodo.gov.it;True;9,207238400000001;45,4986942;SCUOLA SECONDARIA I GRADO;517
MITF07901R;201617;NORD OVEST;20131,0;F205;MIIS079008;"I.I.S. ""CATERINA DA SIENA""";ITIS C. DA SIENA;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;NO;Non Disponibile;MIIS079008@istruzione.it;Non Disponibile;VIALE LOMBARDIA 89;MILANO;LOMBARDIA;SI;www.istitutocaterinadasiena.it;True;9,2233129;45,4881807;SCUOLA SECONDARIA II GRADO;199
MIEE8DF031;201617;NORD OVEST;20162,0;F205;MIIC8DF00R;IC SANDRO PERTINI/MILANO;G.PIRELLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DF00R@istruzione.it;Non Disponibile;VIA GOFFREDO DA BUSSERO 9;MILANO;LOMBARDIA;SI;http//www.icpertinimilano.gov.it/;True;9,2056299;45,518980299999996;SCUOLA PRIMARIA;360
MIRC094019;201617;NORD OVEST;20122,0;F205;MIIS09400A;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI E TURISTICI;NO;Non Disponibile;MIIS09400A@istruzione.it;Non Disponibile;CORSO DI PORTA ROMANA 110;MILANO;LOMBARDIA;SI;www.bertarelliferraris.gov.it;True;9,197794900000002;45,454576700000004;SCUOLA SECONDARIA II GRADO;336
MIEE8C1026;201617;NORD OVEST;20151,0;F205;MIIC8C1003;IC G. BORSI/MILANO;VIA CILEA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA CILEA 12;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,10525;45,49719;SCUOLA PRIMARIA;124
MIMM81901D;201617;NORD OVEST;20126,0;F205;MIIC81900C;IC I.CALVINO;I. CALVINO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA FRIGIA 4;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,22176;45,51477;SCUOLA SECONDARIA I GRADO;407
MIEE8C7047;201617;NORD OVEST;20153,0;F205;MIIC8C7002;I.C. LUCIANO MANARA;PRIMARIA EDUCAZIONE SPORT E MUSICA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA SAN GIUSTO 65;MILANO;LOMBARDIA;SI;WWW.ISTITUTOLUCIANOMANARA.GOV.IT;True;9,1176666;45,4713419;SCUOLA PRIMARIA;222
MIMM8C1014;201617;NORD OVEST;20151,0;F205;MIIC8C1003;IC G. BORSI/MILANO;VIA OJETTI 13;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA OJETTI 13;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,112158;45,4940736;SCUOLA SECONDARIA I GRADO;398
MIRI077018;201617;NORD OVEST;20152,0;F205;MIIS07700L;G. GALILEI - R. LUXEMBURG;ROSA LUXEMBURG;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS07700L@istruzione.it;Non Disponibile;VIA ULIVI6;MILANO;LOMBARDIA;SI;www.galileimilano.it;True;9,082820800000002;45,4548339;SCUOLA SECONDARIA II GRADO;432
MIPC039015;201617;NORD OVEST;20161,0;F205;MIIS03900T;BERTRAND RUSSELL;VIA DEL VOLGA4 MILANO;NORMALE;MILANO;LICEO CLASSICO;NO;Non Disponibile;MIIS03900T@istruzione.it;Non Disponibile;VIA DEL VOLGA4;MILANO;LOMBARDIA;SI;www.liceomero.it;True;9,17214;45,5255;SCUOLA SECONDARIA II GRADO;99
MIRI094012;201617;NORD OVEST;20122,0;F205;MIIS09400A;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;NORMALE;MILANO;IST PROF INDUSTRIA E ARTIGIANATO;NO;Non Disponibile;MIIS09400A@istruzione.it;Non Disponibile;CORSO DI PORTA ROMANA 110;MILANO;LOMBARDIA;SI;www.bertarelli.it;True;9,197794900000002;45,454576700000004;SCUOLA SECONDARIA II GRADO;252
MIEE8C1048;201617;NORD OVEST;20153,0;F205;MIIC8C1003;IC G. BORSI/MILANO;I.NIEVO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C1003@istruzione.it;Non Disponibile;VIA SILLA 150;MILANO;LOMBARDIA;SI;www.istitutocomprensivoborsi.gov.it;True;9,0772353;45,4940114;SCUOLA PRIMARIA;91
MIEE8FP021;201617;NORD OVEST;20158,0;F205;MIIC8FP00T;I.C. VIA MAFFUCCI/MILANO;VIA BODIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FP00T@istruzione.it;Non Disponibile;VIA BODIO 22;MILANO;LOMBARDIA;SI;www.icmaffucci.gov.it;True;9,1686619;45,49761470000001;SCUOLA PRIMARIA;476
MIEE8C7014;201617;NORD OVEST;20153,0;F205;MIIC8C7002;I.C. LUCIANO MANARA;PRIMARIA LUCIANO MANARA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA LAMENNAIS20;MILANO;LOMBARDIA;SI;www.istitutolucianomanara.gov.it;True;9,113024699999999;45,473406;SCUOLA PRIMARIA;242
MIMM8B9014;201617;NORD OVEST;20135,0;F205;MIIC8B9003;IC E.MOROSINI E B.SAVOIA/MILANO;MANARA CARMELITA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B9003@istruzione.it;Non Disponibile;VIA BEZZECCA 20;MILANO;LOMBARDIA;SI;WWW.ICMOROSINIMANARA.GOV.IT;True;9,2135665;45,46082029999999;SCUOLA SECONDARIA I GRADO;392
MIEE8FP01X;201617;NORD OVEST;20158,0;F205;MIIC8FP00T;I.C. VIA MAFFUCCI/MILANO;VIA GUICCIARDI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FP00T@istruzione.it;Non Disponibile;VIA GUICCIARDI;MILANO;LOMBARDIA;SI;MIIC8FP@ISTRUZIONE.IT;True;9,1728026;45,502599700000005;SCUOLA PRIMARIA;436
MIPS04301X;201617;NORD OVEST;20132,0;F205;MIIS04300D;IS F.BESTA;"""BESTA""";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS04300D@istruzione.it;Non Disponibile;VIA DON CALABRIA 16;MILANO;LOMBARDIA;SI;www.fbesta.it;True;9,241926199999998;45,4993466;SCUOLA SECONDARIA II GRADO;439
MIEE8CS036;201617;NORD OVEST;20161,0;F205;MIIC8CS002;IC DON ORIONE/MILANO;F.CARACCIOLO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CS002@istruzione.it;Non Disponibile;VIA ISEO 7;MILANO;LOMBARDIA;SI;www.icsdonorione.gov.it/;True;9,173898800000002;45,5200666;SCUOLA PRIMARIA;395
MIMM82001N;201617;NORD OVEST;20152,0;F205;MIIC82000L;IC BRUNO MUNARI/ MILANO;CESARE CORRENTI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC82000L@istruzione.it;Non Disponibile;VIA BETULLE 17;MILANO;LOMBARDIA;SI;www.icbrunomunari.gov.it;True;9,0814122;45,45294759999999;SCUOLA SECONDARIA I GRADO;380
MIMM8BD011;201617;NORD OVEST;20121,0;F205;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;ICS MILANO SPIGA (PARINI SMS);NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8BD00X@istruzione.it;Non Disponibile;VIA S.SPIRITO 21;MILANO;LOMBARDIA;SI;WWW.ICSMILANOSPIGA.GOV.IT;True;9,195619;45,4706719;SCUOLA SECONDARIA I GRADO;440
