CODSCUOLA;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI;nome_citta
RMEE85101V;201617;CENTRO;00122;H501;RMIC85100R;W. A. MOZART;MOZART-PRIMARIA C. PORZIANO 2;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC85100R@istruzione.it;Non Disponibile;V.LE CASTEL PORZIANO 514;ROMA;LAZIO;SI;http//www.scuolamozart.gov.it/;True;12,383392;41,7403341;SCUOLA PRIMARIA;421;ROMA
RMMM8GS01V;201617;CENTRO;00135;H501;RMIC8GS00T;IC OCTAVIA;VIA MAESTRE PIE FILIPPINI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8GS00T@istruzione.it;Non Disponibile;VIA MAESTRE PIE FILIPPINI 5;ROMA;LAZIO;SI;www.icoctavia.gov.it;True;12,406541699999998;41,9614626;SCUOLA SECONDARIA I GRADO;309;ROMA
RMEE8E702V;201617;CENTRO;00133;H501;RMIC8E700Q;IC VIA ACQUARONI;IDA DEL VECCHIO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8E700Q@istruzione.it;Non Disponibile;VIA F. MERLINI;ROMA;LAZIO;SI;www.istitutocomprensivoacquaroni.it;True;12,6434926;41,868338;SCUOLA PRIMARIA;282;ROMA
RMMM85701R;201617;CENTRO;00123;H501;RMIC85700Q;ENZO BIAGI;M. PERIELLO;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC85700Q@istruzione.it;Non Disponibile;VIA ORREA 23;ROMA;LAZIO;SI;www.bacheca-scuola.it/enzobiagi/;True;12,337583;42,0715507;SCUOLA SECONDARIA I GRADO;408;ROMA
RMMM8FB018;201617;CENTRO;00133;H501;RMIC8FB007;IC VIA POSEIDONE;"""DARIO PAGANO""";NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8FB007@istruzione.it;Non Disponibile;VIA POSEIDONE66;ROMA;LAZIO;SI;www.icviaposeidone.gov.it;True;12,6200513;41,870544;SCUOLA SECONDARIA I GRADO;355;ROMA
RMEE8CS02E;201617;CENTRO;00132;H501;RMIC8CS00B;IC PONTE DI NONA VECCHIO-LUNGHE;CIRIELLO RAFFAELE;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8CS00B@istruzione.it;Non Disponibile;VIA OSCAR ARNULFO ROMERO 68/100;ROMA;LAZIO;SI;WWW.ICPONTEDINONAVECCHIOLUNGHEZZA.GOV.IT;True;12,6689213;41,8980194;SCUOLA PRIMARIA;331;ROMA
RMMM8EW011;201617;CENTRO;00172;H501;RMIC8EW00X;I.C. VIA FERRAIRONI;VIA U.GUATTARI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8EW00X@istruzione.it;Non Disponibile;VIA U. GUATTARI 45;ROMA;LAZIO;SI;WWW.icferraironi.it;True;12,5589954;41,8814673;SCUOLA SECONDARIA I GRADO;181;ROMA
RMMM81501P;201617;CENTRO;00155;H501;RMIC81500N;"""ANGELICA BALABANOFF""";ANGELICA BALABANOFF;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC81500N@istruzione.it;Non Disponibile;VIA A. BALABANOFF 62;ROMA;LAZIO;SI;icbalabanoff.gov.it;True;12,5737225;41,91647310000001;SCUOLA SECONDARIA I GRADO;640;ROMA
RMEE8EH01N;201617;CENTRO;00141;H501;RMIC8EH00G;IC VIA SAVINIO;C. USAI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8EH00G@istruzione.it;Non Disponibile;VIA SAVINIO;ROMA;LAZIO;SI;WWW.ICVIASAVINIO.GOV.IT;True;12,5460569;41,9426969;SCUOLA PRIMARIA;486;ROMA
RMEE8GR03R;201617;CENTRO;00135;H501;RMIC8GR00L;IC PABLO NERUDA;VIA ASCREA 26;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GR00L@istruzione.it;Non Disponibile;VIA ASCREA26;ROMA;LAZIO;SI;WWW.ICPABLONERUDA.IT;True;12,4108772;41,9664029;SCUOLA PRIMARIA;129;ROMA
RMMM8CS01C;201617;CENTRO;00132;H501;RMIC8CS00B;IC PONTE DI NONA VECCHIO-LUNGHE;G. FALCONE E F. MORVILLO;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8CS00B@istruzione.it;Non Disponibile;VIA DON PRIMO MAZZOLARI 323;ROMA;LAZIO;SI;www.icpontedinonavecchiolunghezzagov.it;True;12,6695696;41,8992925;SCUOLA SECONDARIA I GRADO;300;ROMA
RMEE84301X;201617;CENTRO;00149;H501;RMIC84300T;VIA SOLIDATI TIBURZI;VIA SOLIDATI TIBURZI 2;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC84300T@istruzione.it;Non Disponibile;VIA SOLIDATI TIBURZI 2;ROMA;LAZIO;SI;www.icsolidatitiburzi.gov.it;True;12,45155;41,85711999999999;SCUOLA PRIMARIA;211;ROMA
RMEE812018;201617;CENTRO;00138;H501;RMIC812006;IC FIDENAE;ANNA FRANK;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC812006@istruzione.it;Non Disponibile;VIA RUSSOLILLO 64;ROMA;LAZIO;SI;www.comprensivofidenae.it;True;12,5175344;41,97012700000001;SCUOLA PRIMARIA;393;ROMA
RMEE8GC02R;201617;CENTRO;00181;H501;RMIC8GC00N;IC LARGO VOLUMNIA;GIANNI RODARI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GC00N@istruzione.it;Non Disponibile;VIA NORCIA 19;ROMA;LAZIO;SI;no;True;12,5304034;41,8772195;SCUOLA PRIMARIA;519;ROMA
RMEE8E6023;201617;CENTRO;00169;H501;RMIC8E600X;IC VIA E. MACRO;F. DE SANCTIS;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8E600X@istruzione.it;Non Disponibile;VIA ADOLFO GIAQUINTO24;ROMA;LAZIO;SI;http//ospitiweb.indire.it/annibaletona/;True;12,5741731;41,8676102;SCUOLA PRIMARIA;190;ROMA
RMEE8EW034;201617;CENTRO;00176;H501;RMIC8EW00X;I.C. VIA FERRAIRONI;PISACANE;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8EW00X@istruzione.it;Non Disponibile;VIA ACQUA BULLICANTE 30;ROMA;LAZIO;SI;www.icferraironi.it;True;12,543432199999998;41,8825271;SCUOLA PRIMARIA;259;ROMA
RMEE843021;201617;CENTRO;00149;H501;RMIC84300T;VIA SOLIDATI TIBURZI;VACCARI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC84300T@istruzione.it;Non Disponibile;VIA G. ASTOLFI 110;ROMA;LAZIO;SI;www.icsolidatitiburzi.gov.it;True;12,4587024;41,8617893;SCUOLA PRIMARIA;323;ROMA
RMEE8F2019;201617;CENTRO;00146;H501;RMIC8F2007;IC VIA CUTIGLIANO;L. PIRANDELLO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8F2007@istruzione.it;Non Disponibile;VIA CUTIGLIANO 82;ROMA;LAZIO;SI;www.icviacutigliano.it;True;12,461447;41,8484208;SCUOLA PRIMARIA;405;ROMA
RMEE856034;201617;CENTRO;00148;H501;RMIC85600X;I.C. FRATELLI CERVI;PONTE GALERIA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC85600X@istruzione.it;Non Disponibile;VIA PORTUENSE 1491;ROMA;LAZIO;SI;www.scuolafratellicervi.gov.it;True;12,3445144;41,81743729999999;SCUOLA PRIMARIA;346;ROMA
RMMM8B401D;201617;CENTRO;00139;H501;RMIC8B400C;BRUNO MUNARI;VIA C.PERAZZI 30;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8B400C@istruzione.it;Non Disponibile;VIA C. PERAZZI 30;ROMA;LAZIO;SI;ICMUNARI.GOV.IT;True;12,5258814;41,9563867;SCUOLA SECONDARIA I GRADO;143;ROMA
RMMM8F3014;201617;CENTRO;00191;H501;RMIC8F3003;I.C. VIA NITTI;VIA NITTI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8F3003@istruzione.it;Non Disponibile;VIA F.S.NITTI 61;ROMA;LAZIO;SI;www.icvianitti.it;True;12,473324;41,946893300000006;SCUOLA SECONDARIA I GRADO;513;ROMA
RMEE8FX01C;201617;CENTRO;00163;H501;RMIC8FX00A;I.C. VIA BRAVETTA;EMANUELA LOI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8FX00A@istruzione.it;Non Disponibile;VIA DELLA PISANA 357;ROMA;LAZIO;SI;https//www.icbravettaroma.gov.it/;True;12,41234;41,86952;SCUOLA PRIMARIA;328;ROMA
RMEE8FG02D;201617;CENTRO;00128;H501;RMIC8FG00A;IC VIA SANTI SAVARINO;ROSALBA CARRIERA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8FG00A@istruzione.it;Non Disponibile;VIA CONSOLE 80;ROMA;LAZIO;SI;http//www.icviasantisavarino.gov.it/;True;12,4380427;41,77930429999999;SCUOLA PRIMARIA;177;ROMA
RMEE8E6012;201617;CENTRO;00169;H501;RMIC8E600X;IC VIA E. MACRO;A. TONA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8E600X@istruzione.it;Non Disponibile;VIA EMILIO MACRO25 - 31;ROMA;LAZIO;SI;http//ospitiweb.indire.it/annibaletona/;True;12,5762541;41,8710154;SCUOLA PRIMARIA;214;ROMA
RMMM85101T;201617;CENTRO;00124;H501;RMIC85100R;W. A. MOZART;W. A. MOZART;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC85100R@istruzione.it;Non Disponibile;V.LE CASTEL PORZIANO 516-VIA CLES 34;ROMA;LAZIO;SI;scuolamozart.altervista.org;True;12,3770269;41,7384761;SCUOLA SECONDARIA I GRADO;620;ROMA
RMMM84401P;201617;CENTRO;00166;H501;RMIC84400N;VIA BOCCEA 590;VIA BOCCEA;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC84400N@istruzione.it;Non Disponibile;VIA BOCCEA 590;ROMA;LAZIO;SI;WWW.ICVIABOCCEA.IT;True;12,37843;41,91766;SCUOLA SECONDARIA I GRADO;412;ROMA
RMMM856011;201617;CENTRO;00148;H501;RMIC85600X;I.C. FRATELLI CERVI;CERVI F.LLI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC85600X@istruzione.it;Non Disponibile;VIA CASETTA MATTEI 279;ROMA;LAZIO;SI;www.scuolafratellicervi.it;True;12,41981;41,8611;SCUOLA SECONDARIA I GRADO;485;ROMA
RMEE81501Q;201617;CENTRO;00155;H501;RMIC81500N;"""ANGELICA BALABANOFF""";ANGELICA BALABANOFF;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC81500N@istruzione.it;Non Disponibile;VIA A. BALABANOFF;ROMA;LAZIO;SI;www.icbalabanoff.gov.it;True;12,5732909;41,9165125;SCUOLA PRIMARIA;506;ROMA
RMEE8FG01C;201617;CENTRO;00128;H501;RMIC8FG00A;IC VIA SANTI SAVARINO;SANTI SAVARINO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8FG00A@istruzione.it;Non Disponibile;VIA SANTI SAVARINO 16;ROMA;LAZIO;SI;http//www.icviasantisavarino.gov.it/;True;12,436961300000002;41,7745953;SCUOLA PRIMARIA;341;ROMA
RMEE820028;201617;CENTRO;00156;H501;RMIC820005;GIOVANNI PALOMBINI;E. SALGARI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC820005@istruzione.it;Non Disponibile;VIA PALOMBINI 39;ROMA;LAZIO;SI;www.icscuolapalombini.it;True;12,5654813;41,9271185;SCUOLA PRIMARIA;108;ROMA
RMMM8GH01T;201617;CENTRO;00175;H501;RMIC8GH00R;IC VIA DELL'AEROPORTO;CECILIO SECONDO;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8GH00R@istruzione.it;Non Disponibile;VIA DELL'AEROPORTO 115;ROMA;LAZIO;SI;www.icviadellaeroporto.gov.it;True;12,556563;41,8635672;SCUOLA SECONDARIA I GRADO;487;ROMA
RMEE856012;201617;CENTRO;00148;H501;RMIC85600X;I.C. FRATELLI CERVI;I.A.C.P. MAZZACURATI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC85600X@istruzione.it;Non Disponibile;VIA MAZZACURATI 90;ROMA;LAZIO;SI;www.scuolafratellicervi.gov.it;True;12,4137814;41,8513493;SCUOLA PRIMARIA;110;ROMA
RMEE8B201V;201617;CENTRO;00144;H501;RMIC8B200R;ORSA MAGGIORE;VIA ORSA MAGGIORE;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8B200R@istruzione.it;Non Disponibile;VIA ORSA MAGGIORE;ROMA;LAZIO;SI;www.icorsamaggiore.it;True;12,4466763;41,8135341;SCUOLA PRIMARIA;386;ROMA
RMEE820039;201617;CENTRO;00156;H501;RMIC820005;GIOVANNI PALOMBINI;PONTEMAMMOLO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC820005@istruzione.it;Non Disponibile;VIA G. CIAMICIAN 32;ROMA;LAZIO;SI;www.icscuolapalombini.it;True;12,5712599;41,9289546;SCUOLA PRIMARIA;170;ROMA
RMEE8G1025;201617;CENTRO;00166;H501;RMIC8G1002;IC VIA CORNELIA 73;VIA E. BONDI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8G1002@istruzione.it;Non Disponibile;VIA E. BONDI N. 83;ROMA;LAZIO;SI;WWW.ICVIACORNELIA73.GOV.IT;True;12,3883346;41,902536;SCUOLA PRIMARIA;179;ROMA
RMEE856023;201617;CENTRO;00148;H501;RMIC85600X;I.C. FRATELLI CERVI;PLACIDO MARTINI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC85600X@istruzione.it;Non Disponibile;VIA CASETTA MATTEI 269;ROMA;LAZIO;SI;www.scuolafratellicervi.gov.it;True;12,41948;41,86038;SCUOLA PRIMARIA;227;ROMA
RMMM8B201T;201617;CENTRO;00144;H501;RMIC8B200R;ORSA MAGGIORE;VIA DELLE COSTELLAZIONI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8B200R@istruzione.it;Non Disponibile;VIA DELLE COSTELLAZIONI;ROMA;LAZIO;SI;www.icorsamaggiore.it;True;12,4492671;41,8148239;SCUOLA SECONDARIA I GRADO;388;ROMA
RMEE8GV04E;201617;CENTRO;00168;H501;RMIC8GV009;I.C. VIA S.C.DONATI;ALBERTO SORDI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GV009@istruzione.it;Non Disponibile;VIA TAGGIA 70;ROMA;LAZIO;SI;www.icdonati.gov.it;True;12,4215594;41,9306989;SCUOLA PRIMARIA;277;ROMA
RMEE8FS019;201617;CENTRO;00146;H501;RMIC8FS007;I.C. GIUSEPPE BAGNERA;R. GUTTUSO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8FS007@istruzione.it;Non Disponibile;VIA CRUTO 41;ROMA;LAZIO;SI;www.icviabagnera.gov.it;True;12,4656447;41,8621709;SCUOLA PRIMARIA;328;ROMA
RMEE8E301E;201617;CENTRO;00171;H501;RMIC8E300C;LARGO COCCONI;MARCO POLO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8E300C@istruzione.it;Non Disponibile;L.GO G. COCCONI 10;ROMA;LAZIO;SI;www.largococconi.it;True;12,5632918;41,8931391;SCUOLA PRIMARIA;541;ROMA
RMMM8D601A;201617;CENTRO;00184;H501;RMIC8D6009;I.C. VIA DELLE CARINE;S.M.S.S. GIUSEPPE MAZZINI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8D6009@istruzione.it;Non Disponibile;VIA DELLE CARINE 2;ROMA;LAZIO;SI;https//istitutoviadellecarine.gov.it/;True;12,4909956;41,892577;SCUOLA SECONDARIA I GRADO;478;ROMA
RMEE84604E;201617;CENTRO;00168;H501;RMIC846009;"""PIO LA TORRE""";PIANO ZONA 74;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC846009@istruzione.it;Non Disponibile;VIA D. AZZOLINO 33;ROMA;LAZIO;SI;http//www.icpiolatorre.gov.it/;True;12,4048997;41,9157289;SCUOLA PRIMARIA;124;ROMA
RMEE8GC01Q;201617;CENTRO;00181;H501;RMIC8GC00N;IC LARGO VOLUMNIA;G.CAGLIERO;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GC00N@istruzione.it;Non Disponibile;LARGO VOLUMNIA 11;ROMA;LAZIO;SI;no;True;12,5336823;41,8716979;SCUOLA PRIMARIA;345;ROMA
RMMM812017;201617;CENTRO;00138;H501;RMIC812006;IC FIDENAE;NOBEL;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC812006@istruzione.it;Non Disponibile;VIA RIO NELL'ELBA 145;ROMA;LAZIO;SI;http//www.comprensivofidenae.gov.it;True;12,5165052;41,97025120000001;SCUOLA SECONDARIA I GRADO;284;ROMA
RMEE8GH02X;201617;CENTRO;00175;H501;RMIC8GH00R;IC VIA DELL'AEROPORTO;ANTONIO DE CURTIS;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GH00R@istruzione.it;Non Disponibile;VIALE S. GIOVANNI BOSCO 125;ROMA;LAZIO;SI;wwwicviadell'aeroporto.it;True;12,5619391;41,86074319999999;SCUOLA PRIMARIA;220;ROMA
RMEE8G1014;201617;CENTRO;00166;H501;RMIC8G1002;IC VIA CORNELIA 73;CARLO EVANGELISTI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8G1002@istruzione.it;Non Disponibile;VIA CORNELIA 73;ROMA;LAZIO;SI;WWW.ICVIACORNELIA73.GOV.IT;True;12,3959338;41,9076366;SCUOLA PRIMARIA;279;ROMA
RMEE862019;201617;CENTRO;00127;H501;RMIC862007;TACITO - GUARESCHI;GIOVANNI GUARESCHI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC862007@istruzione.it;Non Disponibile;VIA MARZABOTTO 12;ROMA;LAZIO;SI;WWW.ICTACITOGUARESCHI.GOV.IT;True;12,4036394;41,7938047;SCUOLA PRIMARIA;292;ROMA
RMEE8EW023;201617;CENTRO;00172;H501;RMIC8EW00X;I.C. VIA FERRAIRONI;ROMOLO BALZANI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8EW00X@istruzione.it;Non Disponibile;VIA ROMOLO BALZANI 55;ROMA;LAZIO;SI;www.icferraironi.it;True;12,5543611;41,8798811;SCUOLA PRIMARIA;215;ROMA
RMEE820017;201617;CENTRO;00156;H501;RMIC820005;GIOVANNI PALOMBINI;C.A. DALLA CHIESA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC820005@istruzione.it;Non Disponibile;VIA FOSSACESIA 63;ROMA;LAZIO;SI;www.icscuolapalombini.it;True;12,5784302;41,923491;SCUOLA PRIMARIA;26;ROMA
RMEE8GH01V;201617;CENTRO;00151;H501;RMIC8GH00R;IC VIA DELL'AEROPORTO;G.ROSSINI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GH00R@istruzione.it;Non Disponibile;VIA T. COLLATINO 50;ROMA;LAZIO;SI;wwwicviadell'aeroporto;True;12,5626074;41,8616717;SCUOLA PRIMARIA;221;ROMA
RMMM8GC01P;201617;CENTRO;00181;H501;RMIC8GC00N;IC LARGO VOLUMNIA;SMS VIA AMULIO 4;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8GC00N@istruzione.it;Non Disponibile;VIA AMULIO 4;ROMA;LAZIO;SI;www.icvolumnia.gov.it;True;12,53157;41,87198;SCUOLA SECONDARIA I GRADO;140;ROMA
RMEE863026;201617;CENTRO;00188;H501;RMIC863003;IC VIA BACCANO;VIA STAZ. PRIMA PORTA;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC863003@istruzione.it;Non Disponibile;VIA STAZ. PRIMA PORTA 16;ROMA;LAZIO;SI;www.istitutobaccano.it;True;12,4924057;42,00046500000001;SCUOLA PRIMARIA;98;ROMA
RMMM8E301D;201617;CENTRO;00171;H501;RMIC8E300C;LARGO COCCONI;SMS GIOVANNI VERGA;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8E300C@istruzione.it;Non Disponibile;VIA G. GUSSONE 5;ROMA;LAZIO;SI;www.largococconi.it;True;12,5629925;41,8924813;SCUOLA SECONDARIA I GRADO;578;ROMA
RMEE8EW012;201617;CENTRO;00172;H501;RMIC8EW00X;I.C. VIA FERRAIRONI;MASIH IQBAL;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8EW00X@istruzione.it;Non Disponibile;VIA FERRAIRONI 38;ROMA;LAZIO;SI;www.icferraironi.it;True;12,5582488;41,8792254;SCUOLA PRIMARIA;269;ROMA
RMMM833018;201617;CENTRO;00118;H501;RMIC833007;"""GIANNI RODARI"" - VIA NIOBE";GIANNI RODARI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC833007@istruzione.it;Non Disponibile;VIA NIOBE 50/52;ROMA;LAZIO;SI;www.icgiannirodari.gov.it;True;12,6158679;41,8222521;SCUOLA SECONDARIA I GRADO;270;ROMA
RMEE83101N;201617;CENTRO;00169;H501;RMIC83100G;IC VIA DELLE ALZAVOLE;VITTORIO BACHELET;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC83100G@istruzione.it;Non Disponibile;VIA DEL FRINGUELLO12;ROMA;LAZIO;SI;http//istitutoalzavole.gov.it;True;12,5963298;41,868088;SCUOLA PRIMARIA;210;ROMA
RMEE8FZ014;201617;CENTRO;00151;H501;RMIC8FZ002;I.C. PIAZZA FORLANINI;I. C. PIAZZA FORLANINI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8FZ002@istruzione.it;Non Disponibile;P.ZZA C. FORLANINI 8;ROMA;LAZIO;SI;www.icpiazzaforlanini.it;True;12,449022;41,8666749;SCUOLA PRIMARIA;348;ROMA
RMEE8GE01B;201617;CENTRO;00183;H501;RMIC8GE009;IC VIA CENEDA;GARIBALDI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GE009@istruzione.it;Non Disponibile;VIA MONDOVI' 16;ROMA;LAZIO;SI;www.istitutocomprensivoceneda.it;True;12,5152858;41,8777518;SCUOLA PRIMARIA;365;ROMA
RMMM8FH017;201617;CENTRO;00128;H501;RMIC8FH006;VIA FRIGNANI;U. NISTRI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8FH006@istruzione.it;Non Disponibile;VIA A. RENZINI 50;ROMA;LAZIO;SI;www.icviafrignani.it;True;12,4438106;41,77999129999999;SCUOLA SECONDARIA I GRADO;147;ROMA
RMMM863014;201617;CENTRO;00188;H501;RMIC863003;IC VIA BACCANO;SAXA RUBRA;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC863003@istruzione.it;Non Disponibile;VIA BACCANO 38;ROMA;LAZIO;SI;www.istitutobaccano.it;True;12,4917078;41,9946926;SCUOLA SECONDARIA I GRADO;209;ROMA
RMMM8GV01A;201617;CENTRO;00168;H501;RMIC8GV009;I.C. VIA S.C.DONATI;VIA TAGGIA;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8GV009@istruzione.it;Non Disponibile;VIA TAGGIA 70;ROMA;LAZIO;SI;www.icdonati.gov.it;True;12,4215594;41,9306989;SCUOLA SECONDARIA I GRADO;186;ROMA
RMEE8BY01P;201617;CENTRO;00144;H501;RMIC8BY00L;M.RICCI VIA CINA 4;VIA CINA 4;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8BY00L@istruzione.it;Non Disponibile;VIA CINA 4;ROMA;LAZIO;SI;www.icmatteoricci.gov.it;True;12,4376946;41,81633220000001;SCUOLA PRIMARIA;398;ROMA
RMEE8E302G;201617;CENTRO;00171;H501;RMIC8E300C;LARGO COCCONI;VIA M.TENORE;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8E300C@istruzione.it;Non Disponibile;VIA M.TENORE 15;ROMA;LAZIO;SI;www.largococconi.it;True;12,5647522;41,89313;SCUOLA PRIMARIA;249;ROMA
RMEE8GW028;201617;CENTRO;00195;H501;RMIC8GW005;IC CLAUDIO ABBADO;SCUOLA SPECIALELEONARDA VACCARI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GW005@istruzione.it;Non Disponibile;VIALE ANGELICO 22;ROMA;LAZIO;SI;www.icclaudioabbado.gov.it;True;12,4584;41,91375;SCUOLA PRIMARIA;29;ROMA
RMMM86101C;201617;CENTRO;00143;H501;RMIC86100B;I.C.INDRO MONTANELLI;BATTISTI;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC86100B@istruzione.it;Non Disponibile;VIA DIVISIONE TORINO 119;ROMA;LAZIO;SI;www.icmontanelli.gov.it;True;12,4873013;41,8208091;SCUOLA SECONDARIA I GRADO;407;ROMA
RMEE8GX013;201617;CENTRO;00136;H501;RMIC8GX001;IC PARCO DELLA VITTORIA;LEOPARDI;NORMALE;ROMA;SCUOLA PRIMARIA;NO;Non Disponibile;RMIC8GX001@istruzione.it;Non Disponibile;PARCO DELLA VITTORIA 30;ROMA;LAZIO;SI;www.scuolabelli.it;True;12,449320599999998;41,9254044;SCUOLA PRIMARIA;438;ROMA
RMMM8GW016;201617;CENTRO;00136;H501;RMIC8GW005;IC CLAUDIO ABBADO;GIOVANNI XXIII;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8GW005@istruzione.it;Non Disponibile;V.LE MEDAGLIE D'ORO 419/G;ROMA;LAZIO;SI;www.icclaudioabbado.gov.it;True;12,445626;41,923271;SCUOLA SECONDARIA I GRADO;229;ROMA
RMMM8FT014;201617;CENTRO;00152;H501;RMIC8FT003;I.C. LARGO ORIANI;GIANICOLO;NORMALE;ROMA;SCUOLA PRIMO GRADO;NO;Non Disponibile;RMIC8FT003@istruzione.it;Non Disponibile;LARGO A. ORIANI 1;ROMA;LAZIO;SI;iclargooriani.it;True;12,46055;41,87867;SCUOLA SECONDARIA I GRADO;801;ROMA
